epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4053.13,0.8912,0.57014,1.11004,0.47341,0.41556,0.42589,0.27803,1.34354,1.27748,1.40671,0.008614,0.008614,0.008614
44,4147.31,0.88409,0.5598,1.10339,0.40674,0.47468,0.43338,0.26468,1.40102,1.35279,1.42557,0.008581,0.008581,0.008581
45,4239.43,0.88848,0.55675,1.10185,0.47837,0.38637,0.42507,0.26241,1.38286,1.35707,1.42257,0.008548,0.008548,0.008548
46,4332.45,0.8791,0.56193,1.10717,0.34974,0.40586,0.37539,0.2321,1.40596,1.39822,1.42656,0.008515,0.008515,0.008515
47,4423.92,0.87182,0.55046,1.10462,0.42154,0.4184,0.41553,0.26235,1.33197,1.32878,1.38781,0.008482,0.008482,0.008482
48,4515.61,0.88455,0.55666,1.10288,0.38059,0.41516,0.41565,0.26908,1.33308,1.38072,1.38915,0.008449,0.008449,0.008449
49,4607.46,0.87389,0.55371,1.09766,0.4803,0.2884,0.35592,0.23505,1.42771,1.40125,1.47074,0.008416,0.008416,0.008416
50,4698.93,0.87511,0.55113,1.10029,0.40266,0.43937,0.44481,0.27876,1.37842,1.21087,1.41598,0.008383,0.008383,0.008383
51,4790.8,0.8678,0.54284,1.09971,0.38069,0.34376,0.37976,0.23869,1.41816,1.27614,1.49937,0.00835,0.00835,0.00835
52,4883.73,0.8719,0.53837,1.0942,0.39572,0.37955,0.40403,0.25424,1.36359,1.32701,1.38247,0.008317,0.008317,0.008317
53,4974.9,0.86201,0.53256,1.08656,0.45558,0.40122,0.42054,0.27824,1.33647,1.23583,1.37809,0.008284,0.008284,0.008284
54,5065.66,0.86556,0.53136,1.09531,0.47666,0.3989,0.42474,0.27325,1.3783,1.31039,1.40573,0.008251,0.008251,0.008251
55,5157.22,0.86733,0.52948,1.09089,0.43052,0.40894,0.39931,0.25438,1.41981,1.43754,1.44427,0.008218,0.008218,0.008218
56,5248.95,0.84885,0.52122,1.0833,0.50627,0.40516,0.42588,0.27229,1.39132,1.52108,1.43854,0.008185,0.008185,0.008185
57,5340.2,0.85437,0.52664,1.08399,0.42671,0.40395,0.40737,0.26389,1.39229,1.32281,1.42265,0.008152,0.008152,0.008152
58,5430.36,0.86334,0.52544,1.08711,0.35641,0.44011,0.38178,0.23668,1.41876,1.53496,1.44253,0.008119,0.008119,0.008119
59,5521.95,0.85522,0.51996,1.08513,0.45419,0.39547,0.42387,0.25109,1.43579,1.33385,1.46033,0.008086,0.008086,0.008086
60,5613.81,0.84904,0.5141,1.08553,0.40493,0.42111,0.40998,0.25889,1.36412,1.28949,1.44157,0.008053,0.008053,0.008053
61,5706.14,0.84756,0.51384,1.0815,0.40245,0.40376,0.40845,0.23455,1.47537,1.41598,1.48048,0.00802,0.00802,0.00802
62,5798.21,0.85377,0.51484,1.08317,0.36525,0.45201,0.39635,0.25458,1.32293,1.34578,1.36084,0.007987,0.007987,0.007987
63,5888.47,0.83617,0.50644,1.07856,0.38,0.40585,0.39122,0.24827,1.31798,1.28213,1.36776,0.007954,0.007954,0.007954
64,5979.12,0.84276,0.51074,1.08139,0.49768,0.39931,0.42494,0.27811,1.36348,1.32952,1.40102,0.007921,0.007921,0.007921
65,6070.27,0.84077,0.5082,1.07485,0.42377,0.40982,0.42488,0.28863,1.28173,1.23819,1.33771,0.007888,0.007888,0.007888
66,6161.49,0.83407,0.50177,1.07143,0.42352,0.35892,0.40603,0.26017,1.33557,1.55963,1.36641,0.007855,0.007855,0.007855
67,6251.95,0.8321,0.49872,1.07437,0.41173,0.41657,0.40278,0.26491,1.36184,1.39354,1.40595,0.007822,0.007822,0.007822
68,6342.26,0.83038,0.49975,1.07054,0.47578,0.39733,0.43684,0.26587,1.38724,1.36277,1.42311,0.007789,0.007789,0.007789
69,6432.97,0.83051,0.49503,1.06956,0.37437,0.39125,0.40346,0.26248,1.32159,1.27204,1.36476,0.007756,0.007756,0.007756
70,6523.74,0.83429,0.49902,1.07409,0.47536,0.4314,0.44139,0.28206,1.3418,1.34332,1.39319,0.007723,0.007723,0.007723
71,6616.46,0.83196,0.49016,1.07329,0.53995,0.36916,0.44731,0.29737,1.33067,1.36273,1.36745,0.00769,0.00769,0.00769
72,6707.8,0.82979,0.49099,1.07329,0.42171,0.41247,0.43245,0.2826,1.35481,1.62359,1.4401,0.007657,0.007657,0.007657
73,6799.48,0.8243,0.49281,1.06859,0.43349,0.4501,0.44338,0.28712,1.3591,1.28555,1.38746,0.007624,0.007624,0.007624
74,6889.14,0.82018,0.49076,1.06661,0.47466,0.3927,0.43277,0.28528,1.32526,1.3179,1.37073,0.007591,0.007591,0.007591
75,6980.25,0.82028,0.49284,1.06771,0.49327,0.4018,0.43472,0.28418,1.34002,1.26107,1.39781,0.007558,0.007558,0.007558
76,7072.16,0.81211,0.4811,1.06255,0.38857,0.42981,0.42469,0.276,1.33035,1.27594,1.38978,0.007525,0.007525,0.007525
77,7163.98,0.81868,0.48324,1.0624,0.48105,0.41211,0.42966,0.28089,1.35727,1.24243,1.41866,0.007492,0.007492,0.007492
78,7256.83,0.8204,0.48672,1.06524,0.44969,0.42728,0.43747,0.27879,1.35142,1.1953,1.38655,0.007459,0.007459,0.007459
